audit_id,source_independence,relationship,classification,error_stage,document_a,document_b,fact_a_summary,fact_b_summary,reason
RECON-06,same_document,CONTEXTUALLY_RECONCILED,VALID_RECONCILIATION,None,03-delhivery-q4-fy24-earnings-presentation-5ca307,03-delhivery-q4-fy24-earnings-presentation-5ca307,"Company -> less_corporate_overheads = 200  (Q4 FY23, default-scope)","Company -> less_corporate_overheads = 214  (Q3 FY24, default-scope)",The values differ because the facts describe different reporting periods.
RECON-07,same_document,CONTEXTUALLY_RECONCILED,VALID_RECONCILIATION,None,03-delhivery-q4-fy24-earnings-presentation-5ca307,03-delhivery-q4-fy24-earnings-presentation-5ca307,"Company -> service_ebitda = 238  (Q4 FY24, default-scope)","Company -> service_ebitda = 941  (FY24, default-scope)",The figures reflect differing reporting durations or overlapping temporal periods.
RECON-08,same_document,CONTEXTUALLY_RECONCILED,VALID_RECONCILIATION,None,01-delhivery-prospectus-2022-excerpt-0d7e71,01-delhivery-prospectus-2022-excerpt-0d7e71,"Company -> total_income_i = 49114.06  (2021, default-scope)","Company -> total_income_i = 52706.81  (December 31, 2021, default-scope)",The values differ because the facts describe different reporting periods.
RECON-09,same_document,CONTEXTUALLY_RECONCILED,VALID_RECONCILIATION,None,01-delhivery-prospectus-2022-excerpt-0d7e71,01-delhivery-prospectus-2022-excerpt-0d7e71,"Company -> revenue_from_express_parcel_services = 19288.56  (Fiscal 2020, default-scope)","Company -> revenue_from_express_parcel_services = 71.22 % (December 31, 2020, default-scope)",The values differ because the facts describe different reporting periods.
RECON-10,same_document,CONTEXTUALLY_RECONCILED,VALID_RECONCILIATION,None,01-delhivery-prospectus-2022-excerpt-0d7e71,01-delhivery-prospectus-2022-excerpt-0d7e71,"Company -> other_income = 1917.64  (for the year ended March 31, 2021, default-scope)","Company -> other_income = 2080.54  (for the year ended March 31, 2020, default-scope)",The values differ because the facts describe different reporting periods.
RECON-11,same_document,CONTEXTUALLY_RECONCILED,VALID_RECONCILIATION,None,03-delhivery-q4-fy24-earnings-presentation-5ca307,03-delhivery-q4-fy24-earnings-presentation-5ca307,"Company -> of_revenue = 33.1 % (Q4 FY23, default-scope)","Company -> of_revenue = 1.0 % (Q4 FY24, default-scope)",The values differ because the facts describe different reporting periods.
RECON-12,same_document,CONTEXTUALLY_RECONCILED,VALID_RECONCILIATION,None,03-delhivery-q4-fy24-earnings-presentation-5ca307,03-delhivery-q4-fy24-earnings-presentation-5ca307,"Company -> of_revenue = 12.2 % (Q4 FY24, default-scope)","Company -> of_revenue = 1.0 % (Q3 FY24, default-scope)",The values differ because the facts describe different reporting periods.
RECON-13,same_document,CONTEXTUALLY_RECONCILED,VALID_RECONCILIATION,None,03-delhivery-q4-fy24-earnings-presentation-5ca307,03-delhivery-q4-fy24-earnings-presentation-5ca307,"Company -> of_revenue = 1.2 % (Q3 FY24, default-scope)","Company -> of_revenue = 0.9 % (Q4 FY24, default-scope)",The values differ because the facts describe different reporting periods.
RECON-14,same_document,CONTEXTUALLY_RECONCILED,VALID_RECONCILIATION,None,01-delhivery-prospectus-2022-excerpt-0d7e71,01-delhivery-prospectus-2022-excerpt-0d7e71,"Company -> finance_costs = 762.29  (December 31, 2021, default-scope)","Company -> finance_costs = 639.39  (December 31, 2020, default-scope)",The values differ because the facts describe different reporting periods.
RECON-15,same_document,CONTEXTUALLY_RECONCILED,VALID_RECONCILIATION,None,01-delhivery-prospectus-2022-excerpt-0d7e71,01-delhivery-prospectus-2022-excerpt-0d7e71,"Company -> ii_lease_liabilities = 1107.66  (March 31, 2020, default-scope)","Company -> ii_lease_liabilities = 1929.98  (March 31, 2021, default-scope)",The values differ because the facts describe different reporting periods.
RECON-16,same_document,CONTEXTUALLY_RECONCILED,VALID_RECONCILIATION,None,03-delhivery-q4-fy24-earnings-presentation-5ca307,03-delhivery-q4-fy24-earnings-presentation-5ca307,"Company -> employee_benefit_expense_share_based_payments = 54  (Q3 FY24, default-scope)","Company -> employee_benefit_expense_share_based_payments = 289  (FY23, default-scope)",The values differ because the facts describe different reporting periods.
RECON-17,same_document,CONTEXTUALLY_RECONCILED,VALID_RECONCILIATION,None,01-delhivery-prospectus-2022-excerpt-0d7e71,01-delhivery-prospectus-2022-excerpt-0d7e71,"Company -> revenue_from_contracts_with_customers = 36465.27  (Fiscal 2021, default-scope)","Company -> revenue_from_contracts_with_customers = 100.0 % (December 31, 2020, default-scope)",The values differ because the facts describe different reporting periods.
RECON-18,same_document,CONTEXTUALLY_RECONCILED,VALID_RECONCILIATION,None,01-delhivery-prospectus-2022-excerpt-0d7e71,01-delhivery-prospectus-2022-excerpt-0d7e71,"Company -> 1 = 5.79  (March 31, 2021, default-scope)","Company -> 1 = 104.47  (March 31, 2019, default-scope)",The values differ because the facts describe different reporting periods.
RECON-19,same_document,CONTEXTUALLY_RECONCILED,VALID_RECONCILIATION,None,01-delhivery-prospectus-2022-excerpt-0d7e71,01-delhivery-prospectus-2022-excerpt-0d7e71,"Company -> 1 = 66.15  (March 31, 2020, default-scope)","Company -> 1 = 104.47  (March 31, 2019, default-scope)",The values differ because the facts describe different reporting periods.
RECON-20,same_document,CONTEXTUALLY_RECONCILED,VALID_RECONCILIATION,None,01-delhivery-prospectus-2022-excerpt-0d7e71,01-delhivery-prospectus-2022-excerpt-0d7e71,"Company -> 1 = 0.11  (December 31, 2020, default-scope)","Company -> 1 = 20.79  (December 31, 2021, default-scope)",The values differ because the facts describe different reporting periods.
UNRES-01,cross_document,UNRESOLVED,VALID_UNRESOLVED,None,doc-disagree,doc-pages,"Company -> revenue = 100 ₹ (unknown, default-scope)","Company -> revenue = 50 ₹ (2022, default-scope)","The subject is unresolved or generic, preventing safe entity attribution."
UNRES-02,cross_document,UNRESOLVED,VALID_UNRESOLVED,None,01-delhivery-prospectus-2022-excerpt-0d7e71,01-india-economic-survey-2024-25-excerpt-86f2e7,"The following table -> provides = 24  (August 24, 2021, default-scope)","The department also -> provides = 24  (unknown, default-scope)","The subject is unresolved or generic, preventing safe entity attribution."
UNRES-03,cross_document,UNRESOLVED,VALID_UNRESOLVED,None,01-delhivery-prospectus-2022-excerpt-0d7e71,01-india-economic-survey-2024-25-excerpt-86f2e7,"The following table -> provides = 1  (August 24, 2021, default-scope)","The department also -> provides = 24  (unknown, default-scope)","The subject is unresolved or generic, preventing safe entity attribution."
UNRES-04,cross_document,UNRESOLVED,VALID_UNRESOLVED,None,01-delhivery-prospectus-2022-excerpt-0d7e71,01-india-economic-survey-2024-25-excerpt-86f2e7,"The following table -> provides = 9  (December 31, 2020, default-scope)","The department also -> provides = 24  (unknown, default-scope)","The subject is unresolved or generic, preventing safe entity attribution."
UNRES-05,cross_document,UNRESOLVED,VALID_UNRESOLVED,None,01-delhivery-prospectus-2022-excerpt-0d7e71,01-india-economic-survey-2024-25-excerpt-86f2e7,"The following table -> provides = 0  (December 31, 2020, default-scope)","The department also -> provides = 24  (unknown, default-scope)","The subject is unresolved or generic, preventing safe entity attribution."
UNRES-06,cross_document,UNRESOLVED,VALID_UNRESOLVED,None,01-delhivery-prospectus-2022-excerpt-0d7e71,01-india-economic-survey-2024-25-excerpt-86f2e7,"The following table -> provides = 31  (December 31, 2020, default-scope)","The department also -> provides = 24  (unknown, default-scope)","The subject is unresolved or generic, preventing safe entity attribution."
UNRES-07,cross_document,UNRESOLVED,VALID_UNRESOLVED,None,01-delhivery-prospectus-2022-excerpt-0d7e71,01-india-economic-survey-2024-25-excerpt-86f2e7,"The following table -> provides = 202  (as of December 31, 2021, default-scope)","The department also -> provides = 24  (unknown, default-scope)","The subject is unresolved or generic, preventing safe entity attribution."
UNRES-08,same_document,UNRESOLVED,VALID_UNRESOLVED,None,01-delhivery-prospectus-2022-excerpt-0d7e71,01-delhivery-prospectus-2022-excerpt-0d7e71,"The following table -> provides = a snapshot of Spoton's key operational perform ance indicators as of and for the dates indicated  (2021, default-scope)","our distributed architecture enables us to scale rapidly and -> provides = flexibility with multiple teams working independently on various services for faster deployment  (unknown, default-scope)","The subject is unresolved or generic, preventing safe entity attribution."
UNRES-09,cross_document,UNRESOLVED,VALID_UNRESOLVED,None,01-delhivery-prospectus-2022-excerpt-0d7e71,01-india-economic-survey-2024-25-excerpt-86f2e7,"The following table -> provides = a snapshot of Spoton's key operational perform ance indicators as of and for the dates indicated  (2021, default-scope)","significantly reducing transaction costs. The Bharat Mart in Dubai -> provides = Indian MSMEs affordable access to the Gulf Cooperation Council, African, and CIS markets, enhancing exports to these regions  (unknown, default-scope)","The subject is unresolved or generic, preventing safe entity attribution."
UNRES-10,same_document,UNRESOLVED,VALID_UNRESOLVED,None,01-delhivery-prospectus-2022-excerpt-0d7e71,01-delhivery-prospectus-2022-excerpt-0d7e71,"We -> acquired = Primaseller Inc  (2021, default-scope)","Our Directors are not interested in any property -> acquired = or proposed to be acquired by our Company  (unknown, default-scope)","The subject is unresolved or generic, preventing safe entity attribution."
UNRES-11,cross_document,UNRESOLVED,VALID_UNRESOLVED,None,01-delhivery-prospectus-2022-excerpt-0d7e71,03-delhivery-q4-fy24-earnings-presentation-5ca307,"we -> acquired = Roadpiper Technologies Private Limited, a digital freight broker with fleet owner, load-matching and pricing applications  (2020, default-scope)","Assets -> acquired = through Spoton acquisition  (unknown, default-scope)","The subject is unresolved or generic, preventing safe entity attribution."
UNRES-12,same_document,UNRESOLVED,VALID_UNRESOLVED,None,01-delhivery-prospectus-2022-excerpt-0d7e71,01-delhivery-prospectus-2022-excerpt-0d7e71,"we -> acquired = 683999 tonnes (December 31, 2021, default-scope)","which we -> acquired = 202  (December 31, 2020, default-scope)","The subject is unresolved or generic, preventing safe entity attribution."
UNRES-13,same_document,UNRESOLVED,VALID_UNRESOLVED,None,01-delhivery-prospectus-2022-excerpt-0d7e71,01-delhivery-prospectus-2022-excerpt-0d7e71,"we -> acquired = 202  (December 31, 2021, default-scope)","which we -> acquired = 1  (December 31, 2020, default-scope)","The subject is unresolved or generic, preventing safe entity attribution."
UNRES-14,same_document,UNRESOLVED,VALID_UNRESOLVED,None,01-delhivery-prospectus-2022-excerpt-0d7e71,01-delhivery-prospectus-2022-excerpt-0d7e71,"we -> acquired = 1  (December 31, 2021, default-scope)","which we -> acquired = 758730 tonnes (December 31, 2020, default-scope)","The subject is unresolved or generic, preventing safe entity attribution."
UNRES-15,same_document,UNRESOLVED,VALID_UNRESOLVED,None,01-delhivery-prospectus-2022-excerpt-0d7e71,01-delhivery-prospectus-2022-excerpt-0d7e71,"we -> acquired = 31  (December 31, 2021, default-scope)","which we -> acquired = 508026 tonnes (December 31, 2020, default-scope)","The subject is unresolved or generic, preventing safe entity attribution."
UNRES-16,same_document,UNRESOLVED,VALID_UNRESOLVED,None,01-delhivery-prospectus-2022-excerpt-0d7e71,01-delhivery-prospectus-2022-excerpt-0d7e71,"we -> acquired = 34  (December 31, 2021, default-scope)","which we -> acquired = 683999 tonnes (December 31, 2020, default-scope)","The subject is unresolved or generic, preventing safe entity attribution."
UNRES-17,same_document,UNRESOLVED,VALID_UNRESOLVED,None,01-delhivery-prospectus-2022-excerpt-0d7e71,01-delhivery-prospectus-2022-excerpt-0d7e71,"which we -> acquired = 1  (December 31, 2020, default-scope)","We -> acquired = 1  (as of December 31, 2021, default-scope)","The subject is unresolved or generic, preventing safe entity attribution."
UNRES-18,same_document,UNRESOLVED,VALID_UNRESOLVED,None,01-delhivery-prospectus-2022-excerpt-0d7e71,01-delhivery-prospectus-2022-excerpt-0d7e71,"which we -> acquired = 508026 tonnes (December 31, 2020, default-scope)","We -> acquired = 1  (as of December 31, 2021, default-scope)","The subject is unresolved or generic, preventing safe entity attribution."
UNRES-19,same_document,UNRESOLVED,VALID_UNRESOLVED,None,01-delhivery-prospectus-2022-excerpt-0d7e71,01-delhivery-prospectus-2022-excerpt-0d7e71,"which we -> acquired = 31  (December 31, 2020, default-scope)","We -> acquired = 1  (as of December 31, 2021, default-scope)","The subject is unresolved or generic, preventing safe entity attribution."
UNRES-20,same_document,UNRESOLVED,VALID_UNRESOLVED,None,01-delhivery-prospectus-2022-excerpt-0d7e71,01-delhivery-prospectus-2022-excerpt-0d7e71,"We -> launched = 202  (2021, default-scope)","We have also -> launched = 2  (2021, default-scope)","The subject is unresolved or generic, preventing safe entity attribution."
